policy,scenario,trial,seed,n_requests,n_ok,n_cold,sweep_pct,fixed_predicted_gap_s
serverless_predictive_fixed,cyclical,4,3813025259,75,75,14,25,11.25
serverless_predictive_fixed,cyclical,5,963277328,75,75,15,25,11.25
serverless_predictive_fixed,cyclical,6,1638003887,75,75,14,25,11.25
serverless_predictive_fixed,cyclical,7,256795029,75,75,13,25,11.25
serverless_predictive_fixed,cyclical,8,214685358,75,75,15,25,11.25
serverless_predictive_fixed,cyclical,9,4245082356,75,75,15,25,11.25
serverless_predictive_fixed,cyclical,10,2575515336,75,75,14,25,11.25
serverless_predictive_fixed,cyclical,11,2861245625,75,75,14,25,11.25
serverless_predictive_fixed,cyclical,12,1509614922,75,75,14,25,11.25
serverless_predictive_fixed,cyclical,13,2702567642,75,75,15,25,11.25
serverless_predictive_fixed,cyclical,14,3208509222,75,75,14,25,11.25
serverless_predictive_fixed,cyclical,0,1564772627,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,1,3598439793,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,2,1631917179,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,3,842756676,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,4,3813025259,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,5,963277328,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,6,1638003887,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,7,256795029,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,8,214685358,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,9,4245082356,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,10,2575515336,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,11,2861245625,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,12,1509614922,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,13,2702567642,75,75,15,50,13.5
serverless_predictive_fixed,cyclical,14,3208509222,75,75,15,50,13.5
